CardId	Year	Conference	tweetFiltrado
129	2010	0	president;putin;west;military;infrastructure;built;foreign;advisor;weapon;nato;threat;grew;day;launched;preemptive;strike;aggression;forced;timely;correct;decision;sovereign;strong;independent;country
130	2004	7	ukraine;unseen;destroyed;t80u;mbts;zaporizhzhia;oblast;barrel;tank;picture;meter
131	2012	9	apartment;building;district;kharkiv;shelling;wall;resident;apartment;escape;sealed;hole;oilcloth;continue;live
132	2015	7	ukrainian;drone;filming;liberated;oleksandrivka;village;left;kherson;oblast;notice;destroyed;mtlb;053;;destroyed;mbt;115;maverick;ukraine
133	2001	0	guess;national;strategy;educated;people;education;dangerous;authoritarian;regime
134	2022	9	sound;explosion;heard;belgorod;region;hour
135	2004	7	drone;footage;documenting;2nd;attempt;cross;siverskyi;donets;river;area;bilohorivka;ukraine
136	2005	0	freezer;carriage;ru;soldier;kyiv;kharkiv;hundred;body;left;j9;unit;police;thoroughly;collecting;identifying;guy;convention;law
137	2008	0	facing;biggest;economic;contraction;1994;fall;russia;gdp;2022;reach;12;;bloomberg;citing;anonymous;source;government
138	2003	0	‼the;national;security;defense;council;ukraine;decided;forcibly;seize;asset;sberbank;development;corporation;vebrf;ukraine;report;interfax
139	2014	7	artillery;unit;ukrainian;59th;motorized;brigade;target;column;presumably;southern;ukraine;ukraine
140	2015	0	video;ukrainian;paratrooper;armed;еdм4suа;antidrone;jammer;ht;girkingirkin;ukraine
141	2001	1	may9th;governmentcontrolled;alternative;youtube;hacked;offline;russianresistance
142	2005	0	antitank;crew;ukrainian;25th;airborne;brigade;striking;mbt;front;ukraine
143	2004	0	popularfront;documentary;filming;ukraine;antifascist;football;hooligan;whore;fighting;frontlines;subscribe
144	2005	0	ukraine;ukrainian;force;downed;destroyed;orlan10;reconnaissance;uav;morning
145	2000	0	yesterday;ukraine;visited;justintrudeau;drbiden;u2;speaker;norvegian;parliament;visited;hamas;ned;supporting;5channel
146	2012	7	drone;footage;shared;deputy;oleh;tyahnybok;area;flattened;artillery;unit;ukrainian;17th;separate;tank;brigade;ukraine
147	2007	4	random;dumpster;filled;portrait;russiansoldiers;died;russianwarcrimes;hour;ago;proudly;exhibited;victory;day;parade
148	2005	0	interrogates;child;mariupol;testify;ukrainian;resilience;activity;parent
149	2004	0	head;european;commission;vonderleyen;called;direct;threat;world;order;eujapan;summit
150	2009	0	bahaha;fuck;dude;daughter;kind;circus
151	2002	7	stugnap;atgm;strike;ukrainian;81st;airmobile;brigade;bmp1;rubizhne;ukraine
152	2011	0	ukraine;ukrainian;force;captured;t72b;tank;today;battle;east;country
153	2010	6	germany;hosting;nato;informal;fmm;constructive;discussion;historic;finland;;sweden;potential;membership;bid;support;ukraine;defence;nato;continue;adapt;madridsummit
154	2009	7	video;dated;march;filmed;ifv;driver;captured;ifv;destroyed;detail;;ukraine
155	2009	0	olympic;game;2026;2028;belarus;country;allowed;bid;right;broadcast;olympic;game
156	2005	0	weekend;city;;saintpetersburg;clean;street;unbelievably;tasty;food;beautiful;kind;people;taxi;driver;wished;health;leaving;car;happy;minute;saintpetersburg
157	2013	7	stugnap;atgm;operator;ukrainian;24th;mechanized;brigade;destroying;mtlb;luhanks;oblast;ukraine
158	2015	7	footage;documenting;destruction;reportedly;artillery;battery;ukrainian;force;izyum;kharkiv;oblast;ukraine
159	2014	0	western;leader;support;ukraine;ignore;tigrays;genocide;latest;⁦dcexaminer⁩;ukraine;tigray;ethiopia;⁦aeifdp⁩
160	2005	0	ukrainian;serviceman;firing;nlaw;reportedly;transporting;vehicle;shelter;tree;herooftheday10;ukraine
161	2013	7	ukrainian;81st;airmobile;brigade;azov;combatant;repelled;attack;zaporizhia;oblast;atleast;mbt;captured;addition;btr82;destroyed;ukraine
162	2004	7	footage;vehicle;destroyed;result;atgm;strike;ukrainian;sof;ukraine
163	2001	0	military;registration;enlistment;office;omsk;hit;molotov;cocktail;night;report;local;medium
164	2013	7	ukrainian;28th;mechanized;brigade;artillery;work;position;southern;front;ukraine
165	2006	0	head;european;commission;call;direct;threat;world;order;ursula;von;der;leyen;talk;tokyo;prime;minister;japan
